PDF 文件名,标题,波段信息,材料,设计目的
2023-Joule-斯坦福崔屹-楔形微结构实现定向辐射.pdf,Angle-selective thermal emitter for directional radiative cooling and heating,大气透明窗口波段 8–13μm,"PDMS,Al,PE",这篇文章提出了一种用于定向辐射冷却和加热的角度选择性热发射器，通过微楔形结构实现了宽带范围内方向发射率的大幅调控（0.9 - 0.1）。该发射器在室外垂直表面能实现更好的日间辐射冷却，相比各向同性发射器可使温度低2 - 14℃，节省10% - 40%的冷却能量，还能用于室内高效辐射加热，且其发射方向可通过磁响应进行动态调控。这项研究为热管理提供了新途径，有望提升多种热技术的能源效率。 
2023-Layered La2Zr2O7 flexible fibrous membrane for super thermal insulation and infrared stealth.pdf,Layered La2Zr2O7 flexible fibrous membrane for super thermal insulation and infrared stealth,近红外波段，750-2500nm,"La2Zr2O7,ZrOCl2?8H2O,LaCl3?7H2O,C5H8O2,C6H15N,CH3OH,C3H6O,PEO ",这篇文章通过溶胶-凝胶法结合静电纺丝技术，制备了具有高热辐射反射率、低导热率、低密度和优异柔韧性的La2Zr2O7柔性纤维膜（LZFM）。该材料在1530℃和1400℃高温下分别以碳化硅棒和丁烷火焰为热源，展现出了卓越的隔热性能；与铝箔组成的复合结构则实现了高温目标的红外隐身。研究表明，LZFM在极端条件下的隔热保护和红外隐身方面具有良好的应用前景。 
2023-science-.pdf,Hierarchically structured passive radiative cooling ceramic with high solar reflectivity,紫外、可见光至近红外波段，200-2500nm,"PES,NMP,alumina,ethanol,fluorosilane",这篇文章开发了一种蜂窝陶瓷形式的高效被动辐射冷却材料，具有高太阳能反射率和高发射率，可在户外持续提供亚环境冷却，节能潜力大。该材料具备颜色、耐候性、机械坚固性等优势，在多地测试验证了其稳定的冷却性能，还具有多种功能特性，如抑制莱顿弗罗斯特效应、可转换亲疏水性、抗紫外线辐射、高机械强度、可回收等，为可持续和节能建筑解决方案的发展提供了潜力。 
2023-science-A solution-processed radiative cooling glass.pdf,A solution-processed radiative cooling glass,大气透明窗口波段 8–13μm,"P2O5,SiO2,Al2O3,Na2O,K2O,B2O3,TiO2,ZnO,BN,a -Al2O3",这篇文章提出了一种溶液处理的“冷却玻璃”涂层，解决了基于聚合物和金属的辐射冷却结构的关键挑战。该涂层在环境条件下稳定、可扩展且成本低，同时具有出色的被动冷却性能。通过设计玻璃和氧化铝颗粒的二元体系，优化了材料和尺寸效应，实现了高太阳反射率（>0.96）和高红外发射率（~0.95）。室外实验表明，该涂层在白天和夜晚都具有高效的辐射冷却性能，即使在高湿度环境下也能使基板温度比环境温度低3.5-4°C。模拟结果表明，在屋顶上涂覆这种辐射冷却玻璃可以使年度CO2排放量减少约10%。此外，该涂层具有高附着力、耐水性、抗紫外线和耐高温等优点，为被动辐射冷却提供了一种创新的解决方案。 
2023-Science-香港城市-支撑材料-Hierarchically structured passive radiative coolingceramic with high solar reflectivity.pdf,Hierarchically structured passive radiative cooling ceramic with high solar reflectivity,近红外至中红外波段，0.25-16μm,"Alumina powder,PES,NMP,ethanol,α-alumina powder,1H,1H,2H,2H-perfluorooctyltriethoxysilane,Black FN -009,Red FN -004,Yellow FN -002,Tree Green FN -010,Cyphochilus specimen wings,gold,mercury porosimeter,ultraviolet (UV)/visible (VIS)/near-infrared (NIR) spectrometer,Fourier transform infrared spectroscopy (IRAffinity -1S),diffuse gold surface,calibrated thermocouple,data logger,heater pad,portable air quality monitor,portable solar power meter,EnergyPlus version 9.0.1,high -speed camera,infrared camera",这篇文章介绍了一种具有高太阳反射率的分层结构被动辐射冷却陶瓷的制备及其性能表征。通过调整氧化铝浓度、添加疏水剂、施加商业釉料等方法，制备出具有高太阳反射率、良好冷却性能及多种颜色的陶瓷材料。该材料在不同气候区的建筑节能模拟中表现出色，为被动辐射冷却材料的应用提供了新的解决方案。 
2023-Science-马里兰大学-支撑材料-A solution-processed radiative cooling glass.pdf,Supplementary Materials for A solution -processed radiative cooling glass,大气透明窗口波段 8–13 μm ,"P2O5,Al2O3,Na2O,K2O,B2O3,SiO2,α -Al2O3,Fe2O3,NaCl,NaNO3,CaSO4·2H2O,CaAlSiN3:Eu2?,(Sr,Ba)2SiO4:Eu2?,(Ce,Gd):YAG",这篇文章介绍了一种溶液处理的辐射冷却玻璃的制备及其性能表征，包括材料、制备方法、性能测试等内容。通过混合低熔点玻璃颗粒和Al2O3颗粒制备不同类型的涂层，填充树脂以改善其性能，并通过多种测试手段对涂层的光学、热学和耐久性等性能进行了表征。该研究为辐射冷却玻璃的制备提供了一种可行的方法，有望在建筑节能等领域得到应用。 
2023-scinece-补充材料.pdf,Hierarchically structured passive radiative cooling ceramic with high solar reflectivity,0.25-2.5 μm，2.5-16 μm,"Alumina powder,PES,NMP,ethanol,α-alumina powder,Black FN -009,Red FN -004,Yellow FN -002,Tree Green FN -010,Cyphochilus specimen wings,gold,mercury porosimeter,Lambda 1050+,Spectralon -based integrating sphere,Spectralon? reflectance standard,IRAffinity -1S,MID -IR IntegratIR,PIKE,diffuse gold surface,123 -6312,NI9213,CDAQ -9174,expanded polystyrene thermal box,YG -BX,7575,PRO ISM400,EnergyPlus version 9.0.1,CIE color -matching functions,heater,droplet syringe pump,JIHPUMP? BT-100CA/153Yx,high -speed camera,Photron? FASTCAM SA4 200K -M1,infrared camera,FLIR? T1050sc,MODTRAN program,Matzler",这篇文章介绍了一种具有高太阳反射率的分层结构被动辐射冷却陶瓷的制备及其性能表征。通过控制氧化铝颗粒浓度制备出具有分级孔结构的冷却陶瓷，经测试其在0.25-2.5μm和2.5-16μm波长范围内具有高光谱反射率，能实现高效散热。该陶瓷在白天也具备高冷却功率，主要得益于低湿度导致的大气透过率增加以及白天较高的工作温度。此外，文章还介绍了陶瓷的疏水处理、彩色陶瓷的制备，以及通过多种表征手段对其微观结构、光学性能、冷却性能等进行的研究。 
2023-上海交大-通过构型熵调整氧空位.pdf,Tuning Oxygen Vacancies in Oxides by Configurational Entropy,否,"Co3O4,NiO,CuO,Fe2O3,MnO2,ZnO,MnCoOx,CuCoOx,NiCoOx,FeCoOx,ZnCoOx,(MnCuCoNiFe)xOy,(MnCuCo3NiZn)xOy,(MnCuCo8NiZn)xOy,(MnCuCo3NiFe)xOy,(MnCuCo8NiFe)xOy",这篇文章提出了一种通过构型熵调节氧化物中氧空位的原理。通过DFT计算，发现高熵氧化物（HEOs）中氧空位的形成能较低，实验合成的HEOs也具有更高的氧空位浓度。与单金属和双金属氧化物相比，HEOs在C3H6氧化反应中表现出更好的催化活性和稳定性。这项研究为设计具有特定氧空位浓度的氧化物催化剂提供了一种新的策略。 
2023-国陶-广东新材料研究所-(Y0.2La0.2Nd0.2Sm0.2Eu0.2)2Zr2O7高熵陶瓷作为热障涂层.pdf,Sintering resistance and phase stability of (Y0.2La0.2Nd0.2Sm0.2Eu0.2)2Zr2O7 for ultra-high temperature thermal barrier coatings,否,"Y2O3,ZrO2,La2O3,Nd2O3,Sm2O3,Eu2O3","这篇文章通过实验研究了一种高熵稀土锆酸盐（Y0.2La0.2Nd0.2Sm0.2Eu0.2）2Zr2O7（YLNSE）作为超高温热障涂层材料的性能。结果表明，YLNSE具有良好的抗烧结性、热稳定性和热物理性能，是一种有潜力的超高温热障涂层材料。
1. **设计目的**：开发新型热障涂层材料，满足超高温环境下的使用要求，提高热障涂层的高温稳定性，包括抗烧结性和相稳定性。
2. **实现效果**
    - **抗烧结性**：在1500°C烧结时，YLNSE保持更均匀的微观结构、更高的孔隙率和更小的晶粒尺寸，抗烧结性优于传统热障涂层材料氧化钇稳定氧化锆（YSZ）。
    - **热物理性能**：具有较高的热膨胀系数（11.04×10-6K-1，25-1500°C）和较低的热导率（1.95W m-1K-1，1500°C），与NiCoCrAlY结合涂层的热膨胀系数接近，可完美应用于NiCoCrAlY结合涂层的高温合金基体。
    - **相稳定性**：在1500°C具有良好的相稳定性，热处理200h后仍保持单相烧绿石结构，无相变或分解。
3. **结论**：YLNSE是一种有前途的超高温抗烧结和稳定热障涂层候选材料。 "
2023-宋煜杨-硕-基于合金基底硼化锆薄膜的制备及红外特性研究.pdf,基于合金基底硼化锆薄膜的制备及红外特性研究,红外波段，2-14μm,"ZrB2,Al2O3,GH3536",这篇文章围绕基于GH3536高温合金基底的ZrB2薄膜展开研究，目的是探究其制备工艺、红外辐射特性、耐温性能、可见光兼容特性及耐腐蚀性能。通过直流磁控溅射制备单层ZrB2薄膜并研究热处理影响，发现其室温红外发射率有类金属特性，但真空热处理后因热膨胀系数不匹配等问题发射率恶化，大气热处理虽可见光反射率下降但发射率升高。引入Al2O3过渡层形成双层膜后，研究发现特定厚度过渡层能使薄膜晶化、发射率降低，耐温性、可见光兼容性和耐腐蚀性能良好，为高温环境下的红外隐身应用提供了有价值的材料特性参考。 
2023-小球-A solution-processed radiative cooling glass.pdf,A solution-processed radiative cooling glass,大气透明窗口波段 8–13μm,"P2O5,SiO2,Al2O3,Na2O,K2O,B2O3,a -Al2O3",这篇文章设计并展示了一种基于溶液处理的“冷却玻璃”涂层，解决了聚合物和金属基辐射冷却结构的关键挑战。该涂层在环境条件下稳定、可扩展且成本低，同时具有出色的被动冷却性能。通过室外实验和模拟表明，该涂层能有效降低建筑能耗，减少二氧化碳排放，提升居住舒适度，为被动辐射冷却提供了一种创新解决方案。 
2023-李淼-硕-基于不同基底金属多功能薄膜的制备与光谱特性研究.pdf,基于不同基底金属多功能薄膜的制备与光谱特性研究,大气透明窗口波段 3–5 μm ， 8–14 μm,"Al,Si,Bi,Cu,Au,Pt",这篇文章研究了基于不同基底金属多功能薄膜的制备与光谱特性，探讨了红外隐身与疏水的机理及微纳疏水结构对红外发射率的影响。通过实验，分析了不同基底形貌对铝膜和铂膜红外辐射特性及疏水性的影响。结果表明，荷叶基底上680nm厚铝膜可实现低红外发射率、低可见光反射率、低红外镜面反射率及超疏水特性；硅基底上不同厚度铂膜，随厚度增加发射峰蓝移，利于短波波段辐射冷却，可见光与红外兼容隐身；荷叶基底上600nm厚铂膜实现了低红外发射率、低可见光反射率、低红外镜面反射率及超疏水。该研究为多功能隐身材料发展提供了重要参考。 
2023-段锋-硕-多层结构的铁磁薄膜在电磁噪声抑制中的应用 .pdf,多层结构的铁磁薄膜在电磁噪声抑制中的应用,否,FeCoB,这篇文章聚焦于磁性薄膜噪声抑制器，利用有限元仿真软件，采用仿真与实验结合的方式展开研究。研究单层膜噪声抑制器时，分析了三维尺寸、磁导率等因素对其性能的影响，并通过实验制备不同厚度的FeCoB单层膜验证厚度的作用。对于多层膜噪声抑制器，探讨了层数、堆叠方式及各向异性对其性能的影响，还通过磁控溅射制备了不同层数的多层膜噪声抑制器并进行实验验证。结果表明，多层膜噪声抑制器性能随层数增加先升后稳，4层膜噪声抑制器在GHz频段有良好性能，对传导噪声最大抑制效果达83%，为电磁噪声抑制提供了有效方案。 
2023-殷举航-博-基于等离子喷涂技术的YSZ涂层沉积机理和性能研究.pdf,基于等离子喷涂技术的YSZ涂层沉积机理和性能研究,大气透明窗口波段 3–5 μm ， 8–14 μm ， 2-14μm，8-14μm，2-14μm,YSZ,这篇文章以耐高温金属氧化物YSZ涂层为研究对象，基于PS-PVD和APS两种等离子喷涂技术，系统研究了YSZ涂层的沉积机理、红外辐射特性、高温环境下的性能及红外发射率调控方法。通过模拟和实验，揭示了微观形貌、晶体结构对涂层红外发射率的影响规律，阐明了发射率的形成及调控机理。研究结果为YSZ涂层在耐高温红外隐身材料领域的应用提供了理论支撑和实验基础。 
2023-辐射制冷-Hierarchically structured passive radiative coolingceramic with high solar reflectivity.pdf,Hierarchically structured passive radiative cooling ceramic with high solar reflectivity,否,"Al2O3,PES,NMP,ethanol",这篇文章通过对东南亚一种甲虫外壳的仿生，研发了一种具有高太阳能反射率的分层结构被动辐射冷却陶瓷。该陶瓷能实现近理想的太阳能反射率（Rsolar）和强大的适用性，在多地测试中展现出卓越的冷却性能，能有效降低建筑物热负荷，节能潜力巨大。此外，它还具备多种功能特性，如抑制莱顿弗罗斯特效应、可在超亲水和超疏水间转换、抗紫外线辐射、机械强度高、可回收等，甚至能制成彩色陶瓷兼顾美观与降温，为可持续和节能建筑解决方案的发展提供了有力支持。 
2023-郑州大学-钙钛矿型高熵陶瓷的光学特性.pdf,Design Strategies for Perovskite-Type High-Entropy Oxides with Applications in Optics,近红外波段，780-2500nm,"La2O3,K2CO3,CaO,SrO,BaO,TiO2,La,K,Ca,Sr,Ba,Ti,O","这篇文章通过第一性原理计算和像差校正显微镜分析晶格畸变对高反射率高熵氧化物设计的影响，设计并合成了一系列新型钙钛矿型高熵氧化物（LaxK0.4?xCa0.2Sr0.2Ba0.2）TiO3+δ（x = 0.1, 0.15, 0.2, 0.25, 0.3）。研究发现，通过调节La含量可成功调控氧空位，当La含量为30%时，光学反射率达94%。此外，基于该氧化物制备的涂层能有效降低不锈钢基板背面温度，质量比为1:1时，与未涂层基板相比，背面温度可降低41%。这项工作为高反射率高熵陶瓷材料提供了可行的设计路线。 "
2023ACSAMI-量子优化太阳吸波器.pdf,Design of a High-Performance Titanium Nitride Metastructure-Based Solar Absorber Using Quantum Computing-Assisted Optimization,可见光至近红外波段，400-1300nm,"TiN,SiO2",这篇文章通过量子计算辅助优化设计了一种高性能氮化钛（TiN）超结构太阳能吸收器。该吸收器在可见光/近红外区域具有高吸收效率，太阳能吸收率超过95%，且对偏振角和入射角不敏感。通过优化方案在40小时内找到最优结构，电场分布分析表明其高吸收源于法布里-珀罗干涉和表面等离振子共振的综合作用，该设计对太阳能收集应用具有潜力，也证明了量子计算辅助优化在设计复杂结构上的高效性。 
2023ACSAMI-鱼胶透明水凝胶敷料.pdf,"Highly Stretchable, Transparent, and Adhesive Double-Network Hydrogel Dressings Tailored with Fish Gelatin and Glycyrrhizic Acid for Wound Healing",否,"FGel,GL",这篇文章通过简单、安全且绿色的方法，制备了基于鱼明胶（FGel）和甘草酸（GL）的双网络水凝胶FGel/GL 3，并将其用于促进全层伤口愈合。该水凝胶具有高拉伸性、强粘附性、高透明度和良好的抗冻性，在体内外实验中均表现出优异的生物相容性、细胞迁移和血管生成能力，能显著促进伤口愈合，抑制炎症反应，有望成为一种有前途的伤口敷料。 
2023ACSnano-庆熙大学Sun-Kyung Kim华科胡润-基于特殊Epsilon微腔的定向辐射冷却.pdf,Directional Radiative Cooling via Exceptional Epsilon-Based Microcavities,大气透明窗口波段，8–14 μm,"Si,SiO2,AlO?,Ag",这篇文章报道了一种基于异常ε的中空微腔实现的宽带、与偏振无关的增强型定向热发射。通过贝叶斯优化设计的二氧化硅/氧化铝双层壳中空微腔，在60°-75°的角度范围内实现了0.51-0.62的平均发射率，在5°-20°的角度范围内实现了0.29-0.32的平均发射率，呈现出抛物面天线形状的分布。该微腔在8、9.1、10.9和12μm处的角度选择性达到峰值，分别对应于二氧化硅和氧化铝的近零ε和最大负ε波长，从而支持了声子-极化激元共振介导的宽带侧向发射。文章通过概念验证实验表明，这种特殊的微腔可以为用户提供热舒适，并为光电器件提供实际的冷却性能。 
2023Advanced Materials-北大-一种超快、高能效的电致变色的智能窗户的热变色装置.pdf,"An Ultrafast, Energy-Efficient Electrochromic and Thermochromic Device for Smart Windows",否,"4,4′-Bipyridine,Diethyl 2-bromoethylphosphonate,Allyl bromide,Hydrochloric acid,Acetic acid,Acetonitrile,DMF,Propylene carbonate,Chloroform,AIBN,NIPAM,BMIMBF4,MBA,I2959,PPTTA,Titanium tetraisopropanolate,FeCl3,K3Fe(CN)6,KCl",这篇文章通过创新设计电致变色材料和PNIPAM凝胶电解质，在电致变色和热致变色器件方面取得了显著进展。合成了一种含烯丙基和磷基团的新型紫精衍生物，基于紫精@TiO2和普鲁士蓝层的协同效应，电致变色器件在六个关键维度上表现出色。还开发了一种热致变色凝胶电解质，具有宽电化学窗口、显著的阻燃性和有效的太阳辐射调节能力。最终实现了超快且高能效的电致变色和热致变色器件，其颜色切换速度快，具有良好的稳定性和多种工作模式，为节能智能窗户的工业化提供了一条有前景的途径。 
2023Advanced Science-上海交通大学- Scalable  Color‐Matched  Flexible Plasmonic Film for Visible Infrared Compatible.pdf,"Scalable, Color-Matched, Flexible Plasmonic Film for Visible–Infrared Compatible Camouflage",中波红外波段，3–5μm；长波红外波段，8–14μm,"Al,AAO,Au",这篇文章提出了一种基于半开放法布里-珀罗（F-P）纳米腔结构的多光谱伪装方法，该方法利用表面等离子体吸收和薄膜干涉产生颜色以实现可见光伪装，并利用基底的低红外发射率实现红外伪装。所制备的兼容伪装薄膜在可见光伪装方面具有最小1.6 L*a*b*的色差（沙漠背景下），在红外伪装方面具有低发射率（3-5μm波段≈0.17，8-14μm波段≈0.143）。因其灵活性和可扩展性，该兼容伪装薄膜可应用于实际应用，并在不同战场背景下展现出理想的可见光和红外伪装性能。 
2023AM-浙大李强-多层膜+超材料证明非对称定向辐射.pdf,Asymmetric directional control of thermal emission,中红外波段，12.6μm左右,"Ge,ZnS",这篇文章提出了一种在互易系统中实现非对称定向热发射的通用策略。通过周期性微扰和打破镜面对称性，超表面表现为共振超光栅，其共振可以以不同效率衍射到对称输出角度，从而实现向单一方向的高发射率。文章通过实验证明了在中红外波长下的非对称定向热发射，在观测角为+30°时具有高发射率（ε=0.61），而在其他角度时发射率较低（ε<0.3）。这项工作突出了操纵热发射方向性的潜力，有望开发超薄定制热源，并对各种热工程应用产生影响。 
2023AOM-空军工程大学-可见光透明红外雷达兼容.pdf,Visible Transparent Wideband Microwave Meta-Absorber with Designable Digital Infrared Camou?age,微波波段，7–23GHz,"ITO,PMMA,PET",这篇文章提出了一种具有红外伪装功能的可见光透明宽带微波吸收器，由两个雷达吸收层（RALs）和一个红外屏蔽层（IRSL）组成。通过磁共振模型和欧姆损耗模型，RALs在7-23GHz的宽带频率范围内实现了大于90%的吸收，平均可见光透过率约为60%。IRSL通过可设计的数字频率选择表面实现，促进了红外伪装发射率和微波吸收之间的兼容设计。该吸收器在多光谱隐身方面具有广阔的应用前景，同时其可见光透明特性使其适用于需要在光学窗口进行观察和操作的兼容伪装隐身设施。 
2023Applied Surface Science-捷克科学院大分子化学研究所-2D MXene 纳米颗粒在空气中的老化：XPS 和 TEM 研究.pdf,Aging of 2D MXene nanoparticles in air: An XPS and TEM study,否,"Ti3C2OxFx,MX3,MX4,MX1,MX2,2DMX1,MAX phase,Ti3AlC2,LiF,HCl,LiCl,Si,Cu,C,F,O,Ti",这篇文章通过X射线光电子能谱（XPS）和透射电子显微镜（TEM）等手段，研究了二维MXene材料在空气中的老化过程。研究发现，水的存在会加速MXene的水解和降解反应，导致Ti4+状态的逐渐发展和TiO2的形成，从而使二维MXene纳米片缓慢分解。此外，研究还表明，LiF分层剂的存在不会导致MXene在空气中的整体稳定性有明显差异，而将MXene储存在低温下可以稳定其血小板长达一年以上。这项研究为MXene材料的稳定性研究提供了重要的参考。 
2023carbon-北京化工大学-设计具有长期抗氧化稳定性的高性能防腐涂料Ti3C2Tx MXene.pdf,Designing a Ti3C2Tx MXene with long-term antioxidant stability for high-performance anti-corrosion coatings,否,"Ti3AlC2,LiF,HCl,Ti3C2Tx,[BMIM]?Br?,Epoxy resin",这篇文章开发了一种实现Ti3C2??长期抗氧化稳定性的新技术，用咪唑盐修饰MXene，使其在水溶液中30天内晶体结构不变，保持二维层状结构，大大提高了抗氧化稳定性。同时，1.0 wt% I-Ti3C2??/EP涂层具有优异的防腐性能，其腐蚀速率低至1.762×10??mm/年。文章通过自由基清除能力和MXene的化学特性，阐明了I-Ti3C2??/EP涂层提高抗氧化稳定性和防腐性能的协同机制，为MXene防腐涂层的研究提供了理论基础。 
2023Composites Part A-哈尔滨工业大学-高温下 Mxene 增韧 Al2O3 陶瓷.pdf,Mxene-toughened Al2O3 ceramic at high temperature,否,"Ti3C2Tx,MXene,Al2O3,AlO(OH),MAX,Ti3AlC2,LIF,HCl,HNO3,Al(OC3H7)3",这篇文章提出了一种利用二维Ti3C2?? MXene陶瓷有效增韧Al2O3陶瓷的方法。通过冰模板调控法实现MXene在Al2O3中的定向排列，制备出具有类似珍珠层微观结构的MXene/Al2O3纳米复合材料。该复合材料在1000℃时的断裂韧性为6.02MPa m1/2，是纯Al2O3的2.4倍，且在高温下保持较高强度。原位观察和有限元模拟结果表明，其增韧机制包括裂纹偏转、分叉和桥接效应。此研究为提高脆性陶瓷在高温下的韧性提供了新策略。 
2023CPB-北京交通-1000度高温红外雷达兼容隐身.pdf,High-temperature multispectral stealth metastructure from the microwave-infrared compatible design,微波波段，2–3.5 GHz和5.4–18 GHz,"SiO2,SFP,PRF,IRSL,MAS,MAS-ITO,ITO",这篇文章提出了一种新型多光谱隐身超结构，可实现高温微波吸收和红外隐身。该超结构基于大变异遗传算法优化，通过合理分布耐高温图案化电阻膜来耗散入射微波能量，并利用高强度隔热骨架和低发射率红外超表面的双重调控来降低目标红外辐射。在1000℃时，有效带宽（?10 dB）为2–3.5 GHz和5.4–18 GHz，低热导率（~0.104 W/(m·k)）和低红外发射率（800℃时~0.39）可使目标红外辐射能量降低91.7%。研究为设计具有多功能的微波红外兼容隐身材料提供了有效途径。 
2023CSTE-MoZnS高温红外隐身.pdf,A planarized Mo/ZnS multilayer film for infrared stealth at high temperature,大气透明窗口波段 3–5 μm ， 8–14 μm,"Mo,ZnS,Si",这篇文章设计了一种平面化的Mo/ZnS多层膜，用于在高温下实现红外隐身。通过利用超薄Mo层的独特辐射特性和阻抗匹配，该多层膜在大气窗口（3-5μm和8-14μm）具有低发射率（ε(3–5μm) =0.19; ε(8–14μm) =0.29），在非大气窗口（5-8μm）具有高发射率（ε(5–8μm) =0.7），能够有效实现红外隐身。此外，该多层膜还具有良好的耐高温性能，在高达723K的温度下仍能保持其红外发射率光谱的稳定性。这种设计具有结构简单、可扩展性强、易于大规模生产等优点，为红外隐身等应用提供了一种创新的解决方案。 
2023J. Mater. Chem. C-哈工大-高温雷达隐身综述.pdf,High temperature microwave absorbing materials,否,"Al2O3,Si3N4,BN,SiC,TiC,CNTs,graphene,SiC f,SiO2,Zr,Ni,Co,Fe,Cu,Al,Cr,Nd,Yb,Mg,Ti

",这篇文章综述了高温微波吸收材料（HTMAMs），阐述了频率和温度对介电和磁损耗的影响，介绍了各类HTMAMs的电磁特性、制备方法和结构设计等。目前HTMAMs在材料选择和吸收带宽等方面受限，通过改善高温软磁性能等手段可提升其吸收性能，新型微波吸收隐身材料也展现出潜力，为该领域发展提供了参考，但仍面临诸多关键问题和挑战。 
2023Joule-斯坦福崔屹-楔形微结构实现定向辐射.pdf,Angle-selective thermal emitter for directional radiative cooling and heating,大气透明窗口波段 8–13μm,"PDMS,Al,PE",这篇文章提出了一种用于定向辐射冷却和加热的角度选择性热发射器，通过设计微楔形结构实现了宽带方向发射率控制。该发射器在不同环境温度下，能将热量辐射到特定方向，实现节能。在夏季，可用于建筑外墙的辐射冷却，最高可节能40%；在室内，可用于局部区域的辐射加热，最高可节能20%。此外，通过磁场控制，该发射器还能实现热发射方向的动态调节。这项研究为热管理领域提供了一种创新的解决方案。 
2023Laser   Photonics Reviews - 浙大李强 - maxene彩色保温衣服.pdf,Colored Woven Cloth-Based Textile for Passive Radiative Heating,近红外至中红外波段，780nm-1000μm,"Fe2O3,Fe2O3·H2O,Fe4[Fe(CN)6]3,TiC2,MXene,nanoPE",这篇文章设计并展示了一种基于机织布的彩色纺织品，用于人体被动辐射加热。通过在MXene修饰的棉织物上涂覆红外透明无机纳米颗粒，该纺织品实现了所需颜色的选择性可见光反射、高近红外吸收率和低中红外发射率，以及均匀分布的纳米孔以提高可穿戴性。热测试表明，与纯棉相比，该纺织品能显著提高温度，且具有良好的透气性和耐用性。这种纺织品制造工艺简单，具有节能和多光谱伪装的潜力。 
2023Light-浙大李强-Night-time_radiative_warming_using_the_atmosphere.pdf,Night-time radiative warming using the atmosphere,大气透明窗口波段 8–14μm ，大气辐射波段 5–8μm和14–16μm,"Ge,ZnS,Si","这篇文章提出了一种基于纳米光子学的夜间加热策略，通过使用光子工程薄膜，在抑制物体热辐射的同时利用大气辐射来实现夜间加热。实验结果表明，该策略能够使物体温度相比典型低辐射膜和宽带吸收器分别提高2.1°C/4.4°C，净热损失低至9W/m2。此外，该策略还具有抗凝结的潜力，能够减少表面结露，为可持续加热提供了一种创新方法。

1. **夜间加热策略**：提出一种基于纳米光子学的夜间加热策略，通过使用光子工程薄膜，在抑制物体热辐射的同时利用大气辐射来实现夜间加热。
2. **实验结果**
    - **温度提升**：该策略能够使物体温度相比典型低辐射膜和宽带吸收器分别提高2.1°C/4.4°C。
    - **净热损失降低**：净热损失低至9W/m2。
3. **抗凝结潜力**：该策略还具有抗凝结的潜力，能够减少表面结露，为可持续加热提供了一种创新方法。
4. **创新意义**：为可持续加热提供了一种创新方法，有助于应对气候变化挑战和促进全球碳中和。 "
2023Light-浙大李强-平面膜多通道散热.pdf,Whole-infrared-band camouflage with dual-band radiative heat dissipation,2.5-3μm和5-8μm波段,"Al2O3,Ge,ZnS,GST,Ni,Cr,Si",这篇文章提出了一种基于7层结构的多层波长选择发射器，实现了全红外波段和可见光波段的伪装以及双波段辐射散热。该发射器在短波红外、中波红外、长波红外波段具有低发射率，在可见光和近红外波段具有低反射率，并在两个非大气窗口具有高发射率，能够有效降低目标物体在各波段的信号强度，实现高效散热降温，为多光谱兼容伪装和散热提供了创新解决方案。 
2023light：science&applications-姜晶-固体随机表面发射率预测方法.pdf,A straightforward spectral emissivity estimating method based on constructing random roughsurfaces,否,"GH3044,K465,DD6,TC4",这篇文章提出了一种基于构建随机粗糙表面的光谱发射率估计方法（SEEM），用于预测金属固体粗糙表面的发射率。通过该方法计算了理想灰体和非灰体表面的发射率，分析了粗糙度对其的影响，并与多种合金的测量数据进行对比。结果表明，发射率随粗糙度增加而增大，但增强效果因粗糙度或发射率的增加而减弱，且粗糙度不改变整体光谱分布特征，但可能减弱局部特征。该方法为获取粗糙表面的光谱发射率提供了新途径，对理解表面形态对发射率的影响机制有促进作用。 
